"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP 5 Early","Ply","N18-163","1","m","t",".",NA,2019,1,36,35,2,32,1292.5,14.5,2,44.58,23.26,67.84,"36*N18-163*LP 5 Early*Ply*2019*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-163","1","m","t",".",NA,2019,2,54,35,3,34,1440.7,13.8,2.5,44.32,23.34,67.66,"54*N18-163*LP 5 Early*Ply*2019*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-163","1","m","t",".",NA,2019,3,101,NA,NA,NA,1329.1,NA,3,44.66,22.92,67.58,"101*N18-163*LP 5 Early*Ply*2019*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-285","10","p","t",".",NA,2019,1,49,32,2,34,1493.1,13.6,2,43.02,21.87,64.89,"49*N18-285*LP 5 Early*Ply*2019*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-285","10","p","t",".",NA,2019,2,85,33,2,35,1611,14.2,1.5,43.05,22.14,65.19,"85*N18-285*LP 5 Early*Ply*2019*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-285","10","p","t",".",NA,2019,3,139,NA,NA,NA,1553.1,NA,1.5,43.24,21.48,64.72,"139*N18-285*LP 5 Early*Ply*2019*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-286","11","p","t",".",NA,2019,1,9,32,2,34,1495.4,14.5,1.5,44.29,21.44,65.73,"9*N18-286*LP 5 Early*Ply*2019*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-286","11","p","t",".",NA,2019,2,53,32,2,35,1473.1,13.3,1.5,43.2,22.01,65.21,"53*N18-286*LP 5 Early*Ply*2019*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-286","11","p","t",".",NA,2019,3,119,NA,NA,NA,1429,NA,2,44.84,21.25,66.09,"119*N18-286*LP 5 Early*Ply*2019*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-287","12","p","t",".",NA,2019,1,42,32,2,30,1525,14.5,1.5,43.36,21.53,64.89,"42*N18-287*LP 5 Early*Ply*2019*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-287","12","p","t",".",NA,2019,2,60,32,2,36,1379.1,13.2,2,44.04,21.52,65.56,"60*N18-287*LP 5 Early*Ply*2019*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-287","12","p","t",".",NA,2019,3,130,NA,NA,NA,1603.7,NA,2,44.25,21.73,65.98,"130*N18-287*LP 5 Early*Ply*2019*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-292","13","p","t",".",NA,2019,1,15,32,2,30,1494.9,13.7,1.5,43.88,21.74,65.62,"15*N18-292*LP 5 Early*Ply*2019*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-292","13","p","t",".",NA,2019,2,77,33,2,30,1559,14.6,1.5,42.77,22.06,64.83,"77*N18-292*LP 5 Early*Ply*2019*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-292","13","p","t",".",NA,2019,3,140,NA,NA,NA,1496,NA,2,44.13,21.86,65.99,"140*N18-292*LP 5 Early*Ply*2019*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-296","14","p","t",".",NA,2019,1,29,33,2,30,1607.9,15.1,1.5,43.27,22.06,65.33,"29*N18-296*LP 5 Early*Ply*2019*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-296","14","p","t",".",NA,2019,2,92,34,1.5,29,1473.3,14.8,2,42.82,21.87,64.69,"92*N18-296*LP 5 Early*Ply*2019*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-296","14","p","t",".",NA,2019,3,129,NA,NA,NA,1690.6,NA,2,44.38,21.2,65.58,"129*N18-296*LP 5 Early*Ply*2019*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-308","15","p","t",".",NA,2019,1,7,32,2,34,1294.8,16.3,2,46.33,21.04,67.37,"7*N18-308*LP 5 Early*Ply*2019*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-308","15","p","t",".",NA,2019,2,78,36,2,34,1421.1,17.3,1.5,45.83,21.91,67.74,"78*N18-308*LP 5 Early*Ply*2019*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-308","15","p","t",".",NA,2019,3,133,NA,NA,NA,1446.7,NA,1.5,45.35,22.15,67.5,"133*N18-308*LP 5 Early*Ply*2019*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-311","16","p","t",".",NA,2019,1,43,33,2.5,34,1328.3,18.5,1.5,46.09,22.14,68.23,"43*N18-311*LP 5 Early*Ply*2019*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-311","16","p","t",".",NA,2019,2,57,35,2,36,1304.2,18.1,1.5,46.53,21.69,68.22,"57*N18-311*LP 5 Early*Ply*2019*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-311","16","p","t",".",NA,2019,3,146,NA,NA,NA,1543.5,NA,1.5,45.03,22.17,67.2,"146*N18-311*LP 5 Early*Ply*2019*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-312","17","p","t",".",NA,2019,1,17,32,2,40,1434.8,16.5,1.5,45.39,21.43,66.82,"17*N18-312*LP 5 Early*Ply*2019*17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-312","17","p","t",".",NA,2019,2,81,32,2.5,44,1330.2,16.3,1.5,45.58,21.39,66.97,"81*N18-312*LP 5 Early*Ply*2019*17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-312","17","p","t",".",NA,2019,3,121,NA,NA,NA,1549.1,NA,1.5,46.34,20.86,67.2,"121*N18-312*LP 5 Early*Ply*2019*17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-323","18","s","t",".",NA,2019,1,4,27,1.5,27,1536.7,14.4,1.5,46.13,21.04,67.17,"4*N18-323*LP 5 Early*Ply*2019*18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-323","18","s","t",".",NA,2019,2,83,28,2,25,1515.1,15.9,1.5,45.04,21.14,66.18,"83*N18-323*LP 5 Early*Ply*2019*18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-323","18","s","t",".",NA,2019,3,143,NA,NA,NA,1728,NA,1.5,45.14,21.93,67.07,"143*N18-323*LP 5 Early*Ply*2019*18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-326","19","p","t",".",NA,2019,1,40,32,2,32,1482.2,15.4,2,45.02,22.02,67.04,"40*N18-326*LP 5 Early*Ply*2019*19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-326","19","p","t",".",NA,2019,2,62,29,2,28,1720.5,13.9,2,44.73,21.88,66.61,"62*N18-326*LP 5 Early*Ply*2019*19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-326","19","p","t",".",NA,2019,3,118,NA,NA,NA,1730.9,NA,2,44.34,22.39,66.73,"118*N18-326*LP 5 Early*Ply*2019*19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-175","2","w","t",".",NA,2019,1,30,34,2,34,1387.4,12.9,1.5,44.79,22.13,66.92,"30*N18-175*LP 5 Early*Ply*2019*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-175","2","w","t",".",NA,2019,2,64,37,2.5,38,1597.5,12.5,1.5,44.1,22,66.1,"64*N18-175*LP 5 Early*Ply*2019*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-175","2","w","t",".",NA,2019,3,120,NA,NA,NA,1610.2,NA,1.5,45.12,21.07,66.19,"120*N18-175*LP 5 Early*Ply*2019*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-333","20","w","t",".",NA,2019,1,24,31,1.5,28,1432.9,14.3,1.5,44.43,23,67.43,"24*N18-333*LP 5 Early*Ply*2019*20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-333","20","w","t",".",NA,2019,2,87,32,2,24,1772.9,12.9,1.5,43.34,22.68,66.02,"87*N18-333*LP 5 Early*Ply*2019*20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-333","20","w","t",".",NA,2019,3,132,NA,NA,NA,1780.9,NA,2,43.89,22.32,66.21,"132*N18-333*LP 5 Early*Ply*2019*20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-345","21","s","t",".",NA,2019,1,18,29,2,28,1317.1,12.5,1.5,42.84,23.38,66.22,"18*N18-345*LP 5 Early*Ply*2019*21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-345","21","s","t",".",NA,2019,2,67,29,2.5,36,1466.6,11.7,2,43.38,23.01,66.39,"67*N18-345*LP 5 Early*Ply*2019*21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-345","21","s","t",".",NA,2019,3,113,NA,NA,NA,1700.3,NA,2,43.42,22.71,66.13,"113*N18-345*LP 5 Early*Ply*2019*21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-353","22","p","t",".",NA,2019,1,47,35,2.5,29,1585.2,12.8,1.5,44.45,21.77,66.22,"47*N18-353*LP 5 Early*Ply*2019*22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-353","22","p","t",".",NA,2019,2,63,35,2,32,1400.6,13.1,1.5,43.67,21.78,65.45,"63*N18-353*LP 5 Early*Ply*2019*22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-353","22","p","t",".",NA,2019,3,110,NA,NA,NA,1396.4,NA,1.5,44.55,21.65,66.2,"110*N18-353*LP 5 Early*Ply*2019*22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-354","23","w","t",".",NA,2019,1,8,25,2,31,1425.9,15,1.5,45.02,21.78,66.8,"8*N18-354*LP 5 Early*Ply*2019*23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-354","23","w","t",".",NA,2019,2,52,26,2,33,1667.5,16,1.5,45.28,20.93,66.21,"52*N18-354*LP 5 Early*Ply*2019*23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-354","23","w","t",".",NA,2019,3,104,NA,NA,NA,1457.7,NA,2,45.71,20.54,66.25,"104*N18-354*LP 5 Early*Ply*2019*23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-406","24","p","g",".",NA,2019,1,32,34,1.5,26,1583.5,12.8,2,43.64,21.71,65.35,"32*N18-406*LP 5 Early*Ply*2019*24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-406","24","p","g",".",NA,2019,2,94,32,1.5,22,1808.8,13,2.5,43.12,21.62,64.74,"94*N18-406*LP 5 Early*Ply*2019*24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-406","24","p","g",".",NA,2019,3,145,NA,NA,NA,1666.6,NA,2.5,43.02,22.12,65.14,"145*N18-406*LP 5 Early*Ply*2019*24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-409","25","p","g",".",NA,2019,1,3,31,2,27,1522,15,2,43.43,22.21,65.64,"3*N18-409*LP 5 Early*Ply*2019*25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-409","25","p","g",".",NA,2019,2,80,37,2,33,1557.3,15.1,2,44.06,21.45,65.51,"80*N18-409*LP 5 Early*Ply*2019*25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-409","25","p","g",".",NA,2019,3,115,NA,NA,NA,1579.6,NA,2,43.18,22.69,65.87,"115*N18-409*LP 5 Early*Ply*2019*25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-415","26","p","g",".",NA,2019,1,13,28,1.5,27,1113.9,11.2,1.5,44.59,21.06,65.65,"13*N18-415*LP 5 Early*Ply*2019*26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-415","26","p","g",".",NA,2019,2,82,32,2,32,1422.2,11.6,1.5,44.91,20.84,65.75,"82*N18-415*LP 5 Early*Ply*2019*26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-415","26","p","g",".",NA,2019,3,123,NA,NA,NA,1686.5,NA,1.5,44.95,20.69,65.64,"123*N18-415*LP 5 Early*Ply*2019*26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-428","27","w","g",".",NA,2019,1,48,33,2,32,1585,11.8,1.5,42.42,22,64.42,"48*N18-428*LP 5 Early*Ply*2019*27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-428","27","w","g",".",NA,2019,2,96,35,2,38,1462,11.4,1.5,40.81,22.49,63.3,"96*N18-428*LP 5 Early*Ply*2019*27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-428","27","w","g",".",NA,2019,3,144,NA,NA,NA,1413.7,NA,1.5,41.86,22.22,64.08,"144*N18-428*LP 5 Early*Ply*2019*27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-429","28","w","t",".",NA,2019,1,27,31,1.5,32,1492.2,13.4,2,41.86,22.33,64.19,"27*N18-429*LP 5 Early*Ply*2019*28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-429","28","w","t",".",NA,2019,2,72,33,1.5,30,1563.7,12.7,1.5,41.73,22.07,63.8,"72*N18-429*LP 5 Early*Ply*2019*28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-429","28","w","t",".",NA,2019,3,131,NA,NA,NA,1621.6,NA,1.5,42.66,21.96,64.62,"131*N18-429*LP 5 Early*Ply*2019*28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-446","29","p","g",".",NA,2019,1,28,29,2,30,1459.8,12.9,1.5,44.35,21.5,65.85,"28*N18-446*LP 5 Early*Ply*2019*29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-446","29","p","g",".",NA,2019,2,66,32,2,36,1759.1,12.8,2,44.99,20.99,65.98,"66*N18-446*LP 5 Early*Ply*2019*29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-446","29","p","g",".",NA,2019,3,128,NA,NA,NA,1777,NA,1.5,44.32,21.26,65.58,"128*N18-446*LP 5 Early*Ply*2019*29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-178","3","p","t",".",NA,2019,1,25,32,2,32,1362.7,15.1,1.5,41.42,24.92,66.34,"25*N18-178*LP 5 Early*Ply*2019*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-178","3","p","t",".",NA,2019,2,51,33,2.5,34,1223.7,13.5,2,43.37,23.83,67.2,"51*N18-178*LP 5 Early*Ply*2019*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-178","3","p","t",".",NA,2019,3,107,NA,NA,NA,1457.8,NA,2,42.82,23.24,66.06,"107*N18-178*LP 5 Early*Ply*2019*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-452","30","p","g",".",NA,2019,1,34,32,2,30,1694.8,12.5,1.5,44.17,21.1,65.27,"34*N18-452*LP 5 Early*Ply*2019*30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-452","30","p","g",".",NA,2019,2,97,32,2.5,33,1753.7,12.4,1.5,43,21.45,64.45,"97*N18-452*LP 5 Early*Ply*2019*30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-452","30","p","g",".",NA,2019,3,114,NA,NA,NA,1483.1,NA,1.5,43.66,21.13,64.79,"114*N18-452*LP 5 Early*Ply*2019*30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-492","31","p","g",".",NA,2019,1,45,32,2,31,1643.8,15.9,2,42.85,22.6,65.45,"45*N18-492*LP 5 Early*Ply*2019*31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-492","31","p","g",".",NA,2019,2,73,34,2,28,1428.4,17,1.5,42.84,22.77,65.61,"73*N18-492*LP 5 Early*Ply*2019*31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-492","31","p","g",".",NA,2019,3,148,NA,NA,NA,1195.9,NA,2,43.18,22.73,65.91,"148*N18-492*LP 5 Early*Ply*2019*31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-494","32","p","g",".",NA,2019,1,39,32,2.5,52,1189.6,16.2,2,41.86,23.21,65.07,"39*N18-494*LP 5 Early*Ply*2019*32",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-494","32","p","g",".",NA,2019,2,74,34,2.5,56,1109.4,16.2,2.5,42.31,23.01,65.32,"74*N18-494*LP 5 Early*Ply*2019*32",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-494","32","p","g",".",NA,2019,3,147,NA,NA,NA,554.8,NA,2,42.43,23.29,65.72,"147*N18-494*LP 5 Early*Ply*2019*32",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-513","33","p","t",".",NA,2019,1,20,31,2,21,1416.5,14.1,1.5,43.1,21.93,65.03,"20*N18-513*LP 5 Early*Ply*2019*33",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-513","33","p","t",".",NA,2019,2,59,32,2,22,1848.6,14.1,1.5,42.33,22.44,64.77,"59*N18-513*LP 5 Early*Ply*2019*33",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-513","33","p","t",".",NA,2019,3,142,NA,NA,NA,1873.7,NA,2,43.29,21.75,65.04,"142*N18-513*LP 5 Early*Ply*2019*33",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-514","34","p","t",".",NA,2019,1,14,29,2,30,1463.5,14,1.5,43.59,21.42,65.01,"14*N18-514*LP 5 Early*Ply*2019*34",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-514","34","p","t",".",NA,2019,2,93,34,1.5,24,1652,14.9,1.5,42.73,22.28,65.01,"93*N18-514*LP 5 Early*Ply*2019*34",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-514","34","p","t",".",NA,2019,3,141,NA,NA,NA,1721.5,NA,1.5,44.02,21.62,65.64,"141*N18-514*LP 5 Early*Ply*2019*34",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-515","35","p","t",".",NA,2019,1,2,32,2,30,1595.6,13.2,1.5,43.74,21.92,65.66,"2*N18-515*LP 5 Early*Ply*2019*35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-515","35","p","t",".",NA,2019,2,91,37,2,29,1430.5,13.1,2.5,43,22.27,65.27,"91*N18-515*LP 5 Early*Ply*2019*35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-515","35","p","t",".",NA,2019,3,127,NA,NA,NA,1709.9,NA,2,43.12,22.45,65.57,"127*N18-515*LP 5 Early*Ply*2019*35",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-518","36","p","t",".",NA,2019,1,37,33,1.5,32,1629.7,13.7,2,42.32,21.89,64.21,"37*N18-518*LP 5 Early*Ply*2019*36",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-518","36","p","t",".",NA,2019,2,84,35,2,25,1535.9,14,2,43.75,21.79,65.54,"84*N18-518*LP 5 Early*Ply*2019*36",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-518","36","p","t",".",NA,2019,3,138,NA,NA,NA,1699.4,NA,1.5,42.37,21.7,64.07,"138*N18-518*LP 5 Early*Ply*2019*36",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-534","37","p","t",".",NA,2019,1,1,33,1.5,29,1434.2,12.6,2,43.74,21.47,65.21,"1*N18-534*LP 5 Early*Ply*2019*37",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-534","37","p","t",".",NA,2019,2,79,36,2,34,1656,13.5,2,45.17,21.06,66.23,"79*N18-534*LP 5 Early*Ply*2019*37",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-534","37","p","t",".",NA,2019,3,108,NA,NA,NA,1504.6,NA,2,45.56,20.92,66.48,"108*N18-534*LP 5 Early*Ply*2019*37",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-548","38","p","t",".",NA,2019,1,50,35,2,34,1508.6,12.7,1.5,42.73,22.06,64.79,"50*N18-548*LP 5 Early*Ply*2019*38",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-548","38","p","t",".",NA,2019,2,58,35,2,36,1511.1,13,2,42.51,22.41,64.92,"58*N18-548*LP 5 Early*Ply*2019*38",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-548","38","p","t",".",NA,2019,3,122,NA,NA,NA,1946.3,NA,2,42.82,21.9,64.72,"122*N18-548*LP 5 Early*Ply*2019*38",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-559","39","m","t",".",NA,2019,1,16,32,2,28,1667.8,13.2,2,43,22.75,65.75,"16*N18-559*LP 5 Early*Ply*2019*39",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-559","39","m","t",".",NA,2019,2,70,33,2,28,1438.7,12.5,2,43.79,21.81,65.6,"70*N18-559*LP 5 Early*Ply*2019*39",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-559","39","m","t",".",NA,2019,3,116,NA,NA,NA,1527,NA,2,42.46,22.72,65.18,"116*N18-559*LP 5 Early*Ply*2019*39",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-189","4","p","t",".",NA,2019,1,35,31,1.5,26,1480.9,12.5,1.5,41.8,23.84,65.64,"35*N18-189*LP 5 Early*Ply*2019*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-189","4","p","t",".",NA,2019,2,68,35,2.5,28,1508.5,12.6,1.5,42.63,22.89,65.52,"68*N18-189*LP 5 Early*Ply*2019*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-189","4","p","t",".",NA,2019,3,112,NA,NA,NA,1544,NA,2,42.98,23.29,66.27,"112*N18-189*LP 5 Early*Ply*2019*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-609","40","p","t",".",NA,2019,1,31,35,2.5,35,1315.1,15.7,2,42.91,23.37,66.28,"31*N18-609*LP 5 Early*Ply*2019*40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-609","40","p","t",".",NA,2019,2,56,38,2,42,1540.1,16.6,2,43.22,22.85,66.07,"56*N18-609*LP 5 Early*Ply*2019*40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-609","40","p","t",".",NA,2019,3,103,NA,NA,NA,1586.4,NA,2,42.86,23.41,66.27,"103*N18-609*LP 5 Early*Ply*2019*40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-672","41","p","t",".",NA,2019,1,41,36,3,34,1651.4,15.1,2,43.77,22.13,65.9,"41*N18-672*LP 5 Early*Ply*2019*41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-672","41","p","t",".",NA,2019,2,86,38,3,34,2040.6,14.9,1.5,42.74,22.6,65.34,"86*N18-672*LP 5 Early*Ply*2019*41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-672","41","p","t",".",NA,2019,3,136,NA,NA,NA,1927.2,NA,2,43.66,22.01,65.67,"136*N18-672*LP 5 Early*Ply*2019*41",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-779","42","w","t",".",NA,2019,1,19,26,3,28,1527,14.8,1.5,43.78,22.61,66.39,"19*N18-779*LP 5 Early*Ply*2019*42",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-779","42","w","t",".",NA,2019,2,95,35,2.5,30,2094,14.1,2,42.04,22.43,64.47,"95*N18-779*LP 5 Early*Ply*2019*42",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-779","42","w","t",".",NA,2019,3,124,NA,NA,NA,1695.1,NA,2,42.43,22.4,64.83,"124*N18-779*LP 5 Early*Ply*2019*42",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-789","43","s","t",".",NA,2019,1,22,26,3,30,1456.2,15.6,1.5,45.73,22.39,68.12,"22*N18-789*LP 5 Early*Ply*2019*43",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-789","43","s","t",".",NA,2019,2,88,27,2,30,1733.5,15.8,2,45.37,22.08,67.45,"88*N18-789*LP 5 Early*Ply*2019*43",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-789","43","s","t",".",NA,2019,3,135,NA,NA,NA,1756.5,NA,1.5,44.62,22.64,67.26,"135*N18-789*LP 5 Early*Ply*2019*43",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-798","44","w","g",".",NA,2019,1,23,32,2,53,1087.7,16.9,1.5,44.29,21.91,66.2,"23*N18-798*LP 5 Early*Ply*2019*44",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-798","44","w","g",".",NA,2019,2,71,35,3.5,54,1096.2,16.3,2,45.77,21.18,66.95,"71*N18-798*LP 5 Early*Ply*2019*44",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N18-798","44","w","g",".",NA,2019,3,109,NA,NA,NA,1004.7,NA,1.5,46.6,21.15,67.75,"109*N18-798*LP 5 Early*Ply*2019*44",NA,NA,NA,NA,NA,NA,NA,NA,NA
