"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP HOLL","Cas","N16-1288","6",".","G",NA,NA,2017,3,40,NA,3,NA,1246.4,NA,NA,41.84,21.48,63.32,"40*N16-1288*LP HOLL*Cas*2017*6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1289","7",".","G",NA,NA,2017,1,14,26,2.5,NA,1434.1,14.1,NA,41.01,22.35,63.36,"14*N16-1289*LP HOLL*Cas*2017*7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1289","7",".","G",NA,NA,2017,2,25,26,3,NA,1426,13.5,NA,40.58,22.14,62.72,"25*N16-1289*LP HOLL*Cas*2017*7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1289","7",".","G",NA,NA,2017,3,34,NA,2,NA,1194.7,NA,NA,41.95,21.63,63.58,"34*N16-1289*LP HOLL*Cas*2017*7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1292","8",".","G",NA,NA,2017,1,16,23,2.5,NA,1386.1,12.6,NA,41.17,21.93,63.1,"16*N16-1292*LP HOLL*Cas*2017*8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1292","8",".","G",NA,NA,2017,2,19,26,2.5,NA,1407,13.5,NA,40.95,21.85,62.8,"19*N16-1292*LP HOLL*Cas*2017*8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1292","8",".","G",NA,NA,2017,3,48,NA,3,NA,1321.9,NA,NA,41.04,22.03,63.07,"48*N16-1292*LP HOLL*Cas*2017*8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1294","9",".","T","green stem",NA,2017,1,10,22,1.5,NA,715.1,16.5,NA,43.88,21.7,65.58,"10*N16-1294*LP HOLL*Cas*2017*9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1294","9",".","T","green stem",NA,2017,2,17,22,2,NA,1298.6,18.2,NA,40.56,22.89,63.45,"17*N16-1294*LP HOLL*Cas*2017*9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1294","9",".","T",NA,NA,2017,3,39,NA,2,NA,1366.6,NA,NA,41.02,23.19,64.21,"39*N16-1294*LP HOLL*Cas*2017*9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1253","1","W","G",NA,NA,2017,1,15,11,2,NA,1394.2,14.2,NA,42.39,19.98,62.37,"15*N16-1253*LP HOLL*Cla*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1253","1","W","G",NA,NA,2017,2,25,11,1.5,NA,705.4,13.6,NA,43.56,19.87,63.43,"25*N16-1253*LP HOLL*Cla*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1253","1","W","G","3' Gap CR",NA,2017,3,47,10,1.5,NA,1102.4,NA,NA,42.93,19.58,62.51,"47*N16-1253*LP HOLL*Cla*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1295","10","P","T",NA,NA,2017,1,16,14,2,NA,1174.3,19.6,NA,40.03,23.75,63.78,"16*N16-1295*LP HOLL*Cla*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1295","10","P","T",NA,NA,2017,2,21,14,2,NA,1159.5,19.2,NA,41.79,23.27,65.06,"21*N16-1295*LP HOLL*Cla*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1295","10",".",".","CAMP",NA,2017,3,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38*N16-1295*LP HOLL*Cla*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1296","11","P","T",NA,NA,2017,1,14,15,2,NA,1299.3,19.8,NA,39.14,23.77,62.91,"14*N16-1296*LP HOLL*Cla*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
